"","GEOID","transportType","X29.Mar","E","pop","SIR","RR","LL","UL"
"447","42045","airport",276,176.027695411118,550489.916987804,1.56793508746106,1.57009424959614,1.39109203691394,1.75877822905507
"450","42051","nextAirport",10,39.0815794099471,122219.491398143,0.255875022222228,0.283846380514652,0.162444147764018,0.442735240152794
"455","42061","mainRoad",1,14.2360489806636,44520.275081127,0.0702442090047787,0.170991543200977,0.0722889182419269,0.329850901326514
"460","42071","nextAirport",67,178.114116712371,557014.764604799,0.376163334140413,0.38170768878877,0.298641699100819,0.474275137980366
"469","42089","nextAirport",135,64.6530862767371,202189.047662999,2.08806737271836,2.03315378559419,1.70515901514567,2.38736663566699
"472","42095","nextAirport",126,103.662909363516,324184.136121072,1.21547813749037,1.21008561250082,1.01005060400178,1.42657562178111
"13","17153","mainRoad",0,1.57307294511267,4919.45766232046,0,0.302083006627911,0.0833776266596983,0.781201942184246
"52","18071","mainRoad",7,13.3891115789086,41871.6549370236,0.522812881104589,0.523356624803307,0.271379199919945,0.873577624603472
"110","21003","lowRisk",3,6.95958244809372,21764.643087402,0.43106034340059,0.579780804410621,0.255860138744709,1.07316057714302
"134","21051","lowRisk",0,5.99986865526656,18763.3382932241,0,0.384511790332514,0.123376484924614,0.971841343698906
"191","21165","lowRisk",3,1.89301804807844,5920.01926577115,1.58477094449535,0.799606152887718,0.30264383860237,1.66318376964352
"136","21055","lowRisk",0,2.9523834198252,9232.96359643807,0,0.50846478481625,0.16961612070531,1.22841880946962
"302","26137","mainRoad",17,7.73852038311139,24200.6090766462,2.19680238060766,1.3921772855487,0.784383741514657,2.19148149765569
"360","39047","mainRoad",1,9.20814690942156,28796.5596319386,0.108599483678613,0.198287664661364,0.0787332909332376,0.399069533206863
"367","39061","nextAirport",85,235.871875076067,737640.1118422,0.360365134557005,0.360258096528738,0.289394414349139,0.438271718473294
"384","39095","airport",94,132.850514960808,415462.287237005,0.707562180152114,0.70475261710212,0.571548810871134,0.850733897318484
"1","10003","nextAirport",141,179.915554561837,562648.385893172,0.783700999857343,0.786880346942278,0.663218932629435,0.920016369602084
"494","47165","mainRoad",93,61.2217549160742,191458.274238525,1.51906785631168,1.47542614936607,1.189385332268,1.78932423821389
"394","39115","lowRisk",0,4.67252591223649,14612.350605074,0,0.322409785796088,0.105955777974152,0.787909546946329
